Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5",0402,2,100n,0402YC104KAT2A
"C10, C12, C9",0603,3,100nF,C14663
C11,0603,1,47nF,C1622
C13,0805,1,47uF,C16780
"C2, C6",0402,2,1u,C0402C105M9PAC
C7,0402,1,22pF,0402CG220J500NT
C8,0805,1,10uF,C15850
J1,PinHeader_2x06_P2.54mm_PMODPeriph2B,1,2.54-2*6P Bend insert,C60565
J3,BOOMELE_PJ-320B,1,PJ-320B,C2884998
L1,0805,1,MLF2012-3R3K,C2941578
"R1, R2, R3",0402,3,10k,0402WGF1002TCE
R4,0603,1,120R,C22787
R5,0603,1,33R,C23140
R6,0603,1,470R,C23179
RV1,TRIM_3362P-1-102,1,3362P-1-201LF,C124581
U1,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVSIM,W25Q128JVSIM
U2,SOP-8_3.9x4.9mm_P1.27mm,1,878-APS6404L-3SQR-SN,APS6404L-3SQR-SN
U4,SOT-353_SC-70-5,1,74LVCE1G126SE-7,C842506
